freq,siec,indic_nrgm,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,E7000,CMPY_EG5,PC,BG	74.500 	74.000 	78.440 	78.250 	77.300 	77.810 	77.920 	75.900 	74.750 	77.570 	65.140 	: 
A,E7000,CMPY_EG5,PC,CY	92.900 	93.640 	92.430 	92.680 	92.780 	92.260 	91.950 	89.920 	88.030 	87.530 	84.860 	: 
A,E7000,CMPY_EG5,PC,CZ	67.500 	67.700 	67.700 	68.400 	67.131 	73.820 	74.674 	73.100 	68.020 	72.480 	70.390 	: 
A,E7000,CMPY_EG5,PC,DE	74.000 	73.000 	76.000 	72.100 	75.500 	73.900 	70.100 	65.300 	62.400 	55.900 	57.100 	: 
A,E7000,CMPY_EG5,PC,DK	58.000 	53.500 	43.990 	41.700 	33.270 	32.750 	36.113 	37.442 	44.104 	42.003 	38.220 	: 
A,E7000,CMPY_EG5,PC,EE	87.000 	84.830 	79.760 	80.840 	82.500 	80.000 	67.400 	72.000 	78.000 	76.000 	72.890 	: 
A,E7000,CMPY_EG5,PC,EL	81.380 	85.480 	75.720 	86.610 	74.930 	74.530 	70.450 	61.850 	62.910 	55.640 	49.730 	: 
A,E7000,CMPY_EG5,PC,ES	60.440 	62.170 	64.320 	63.770 	61.860 	55.650 	51.220 	44.300 	51.120 	45.420 	49.830 	: 
A,E7000,CMPY_EG5,PC,FI	59.770 	59.430 	58.150 	58.030 	55.820 	53.830 	54.780 	56.240 	52.950 	48.410 	54.030 	: 
A,E7000,CMPY_EG5,PC,FR	89.900 	93.500 	92.400 	87.600 	86.600 	88.630 	86.860 	88.610 	84.090 	78.280 	78.940 	: 
A,E7000,CMPY_EG5,PC,GE	: 	: 	54.270 	53.530 	53.700 	54.200 	53.000 	54.700 	56.200 	59.000 	48.000 	: 
A,E7000,CMPY_EG5,PC,HR	95.000 	92.280 	89.890 	95.580 	86.120 	82.700 	77.810 	75.710 	75.510 	73.630 	78.430 	: 
A,E7000,CMPY_EG5,PC,HU	72.720 	73.620 	72.030 	76.330 	79.470 	79.803 	77.189 	74.464 	70.400 	71.100 	71.120 	: 
A,E7000,CMPY_EG5,PC,IE	88.000 	84.000 	81.000 	83.500 	81.000 	84.000 	65.000 	73.000 	73.000 	72.000 	64.000 	: 
