year,de,median,p25,p75,de_minus_median,de_rank,n
2013,1.283795498286277,0.7697489132541674,0.36789113453836864,1.32555550776103,0.5140465850321095,8.0,28
2014,1.4698976931928192,0.9569672341254516,0.453624695954137,1.4698976931928192,0.5129304590673676,8.0,29
2015,1.5741139784982021,0.9762841737587373,0.47187731452518866,2.241975663750253,0.5978298047394648,9.0,30
2016,1.5357021032624496,1.0860922618219957,0.4159608469521815,2.3561079659459163,0.4496098414404539,11.0,30
2017,1.5455803393134147,1.1052091675007303,0.512213091871339,2.328039259163761,0.44037117181268437,12.0,30
2018,1.5145802142893259,1.1023617960448555,0.4919442245017573,2.4321599105309577,0.41221841824447036,10.0,30
2019,1.5179541263937832,1.1614422011424492,0.584138205357489,2.4318655965713614,0.356511925251334,12.0,30
2020,1.5329873150780224,1.2139061526531019,0.6928633346529529,2.0429704078130104,0.3190811624249206,11.0,30
2021,1.402188381514049,1.111961145111652,0.6687557428584753,1.9842896419834788,0.290227236402397,11.0,30
2022,1.6345881688251216,1.1179150160716527,0.6751285867063689,1.870940671828491,0.5166731527534689,12.0,30
2023,1.7620481723434216,1.145355167662756,0.6903205767699514,2.1590958833399148,0.6166930046806656,11.0,30
