geo,year,e_cap_share,e_cap_top,e_gen_share,e_gen_top,gas_retailers,fc_e_gwh,fc_ne_gwh,gas_fc_gwh,pop,retailers_per_twh,in_density_sample,retailers_per_million
PL,2015,18.71,11.41,25.48,17.43,88.0,98737.584,24651.02,123388.604,38005614.0,0.7131939024125761,True,2.315447396797747
PL,2016,18.4,11.25,29.92,15.95,113.0,107288.638,24519.175,131807.813,37967209.0,0.8573088152217503,True,2.9762524814505067
PL,2017,20.07,10.73,30.25,17.65,108.0,106639.997,25348.132,131988.12900000002,37972964.0,0.8182554053781609,True,2.8441287859435995
PL,2018,19.94,10.66,32.79,17.13,113.0,107411.847,23252.76,130664.607,37976687.0,0.8648095501484959,True,2.9755096857185044
PL,2019,27.71,11.82,34.72,18.35,112.0,108007.905,21759.978,129767.883,37972812.0,0.8630795032696957,True,2.9494786954413597
PL,2020,25.09,10.27,35.69,17.37,113.0,106791.001,23861.432,130652.433,37958138.0,0.8648901318202011,True,2.9769637277782173
PL,2021,23.32,9.55,41.35,16.86,108.0,124979.303,22763.747,147743.05,37073357.0,0.7309988523994869,True,2.9131432581085117
PL,2022,21.25,8.71,38.18,14.85,118.0,112059.036,19766.131,131825.167,36889761.0,0.8951249801944117,True,3.198719557982498
PL,2023,18.04,6.61,34.46,12.99,109.0,109289.847,15805.867,125095.714,36753736.0,0.8713328100113805,True,2.9656849034340342
PT,2013,63.0,43.8,61.7,43.9,22.0,18220.5,0.0,18220.5,10503889.0,1.2074311901429708,True,2.0944623462795544
PT,2014,64.7,44.5,64.2,46.5,22.0,18000.0,0.0,18000.0,10444092.0,1.2222222222222223,True,2.106454060343398
PT,2015,64.9,45.8,63.6,42.5,23.0,18779.379,0.0,18779.379,10395121.0,1.2247476340937578,True,2.2125764577439746
PT,2016,65.8,47.6,71.2,47.0,23.0,19021.393,0.0,19021.393,10368554.0,1.2091648597975975,True,2.218245668585996
PT,2017,66.1,48.1,70.4,39.5,25.0,20245.938,0.0,20245.938,10344478.0,1.2348155960963627,True,2.41674833664879
PT,2018,65.4,47.5,69.5,43.3,24.0,20979.629,0.0,20979.629,10335770.0,1.143966845171571,True,2.322033094776683
PT,2019,64.87,46.83,63.22,37.73,25.0,21107.035,0.0,21107.035,10333496.0,1.1844392165929511,True,2.419316753981421
PT,2020,66.61,46.39,65.68,39.14,26.0,19687.697,652.772,20340.469,10375395.0,1.2782399461880647,True,2.505928689943853
PT,2021,62.77,33.93,63.38,26.43,25.0,21766.837,652.772,22419.609,10394297.0,1.1150952721789216,True,2.4051650631110504
PT,2022,65.48,32.95,66.91,23.45,28.0,19727.216,574.315,20301.531,10421117.0,1.379206326852886,True,2.68685209080754
PT,2023,64.07,31.85,59.44,23.24,30.0,19123.353,640.615,19763.968,10516621.0,1.517913811639444,True,2.8526272839916924
RO,2013,57.26,30.06,76.12,26.8,67.0,66071.5,8979.25,75050.75,20020074.0,0.8927292532053311,True,3.346640976451935
RO,2014,56.09,28.56,67.55,29.9,70.0,63572.25,9575.5,73147.75,19947311.0,0.9569672341254516,True,3.5092449303066466
RO,2015,58.14,31.04,65.13,25.69,74.0,61630.75,3880.75,65511.5,19870647.0,1.1295726704471734,True,3.7240860853700433
RO,2016,56.65,30.36,65.83,28.48,84.0,60521.5,3204.25,63725.75,19760585.0,1.3181484721639212,True,4.250886297141507
RO,2017,56.7,30.21,63.36,23.1,86.0,65598.294,4071.241,69669.53499999999,19643949.0,1.2343989377853608,True,4.377938468482076
RO,2018,51.28,30.13,72.45,27.86,80.0,66935.591,4329.588,71265.179,19533481.0,1.1225678672609523,True,4.095532178826703
RO,2019,54.1,31.8,71.77,26.66,73.0,65432.248,4504.387,69936.635,19414458.0,1.0438020073456495,True,3.7600843659915717
RO,2020,59.411,33.68,69.335,27.75,76.0,67999.277,5323.24,73322.517,19328838.0,1.0365165178385787,True,3.9319487286302466
RO,2021,61.87,35.35,72.35,29.61,75.0,76184.38,4647.477,80831.857,19201662.0,0.9278519977587549,True,3.9059118945016325
RO,2022,61.01,36.12,70.1,25.38,68.0,62566.302,336.738,62903.04,19043098.0,1.081028834218505,True,3.570847558522253
RO,2023,58.52,36.67,63.355,25.656,58.0,58162.495,268.111,58430.606,19055228.0,0.9926304717770684,True,3.0437840995657464
RS,2013,94.9,41.9,99.3,53.5,37.0,11654.75,0.0,11654.75,7181505.0,3.1746712713700425,True,5.152123405887763
RS,2014,93.7,41.5,99.1,50.8,35.0,7859.255,1058.203,8917.458,7146759.0,3.9248853204579155,True,4.897324787361655
RS,2015,98.66,98.66,99.24,99.24,36.0,8651.552,1460.009,10111.561,7114393.0,3.5602811474904814,True,5.06016465494667
RS,2016,98.35,98.35,98.9,98.9,38.0,9192.88,2704.42,11897.3,7076372.0,3.1940020004538847,True,5.369983375661992
RS,2017,98.33,98.33,98.55,98.55,39.0,10969.665,2771.731,13741.396,7040272.0,2.8381395893110133,True,5.539558698868453
RS,2018,95.31,95.31,97.92,97.92,37.0,12071.35,1827.904,13899.254,7001444.0,2.6620133713651106,True,5.284624143248164
RS,2019,93.56,93.56,96.12,96.12,35.0,10644.268,1571.962,12216.23,6963764.0,2.865041015108589,True,5.0260175387908035
RS,2020,95.16,95.16,97.4,97.4,35.0,9837.812,1742.781,11580.593,6926705.0,3.022297735530469,True,5.0529075512815975
RS,2021,90.9,90.9,95.03,95.03,34.0,12700.12,1235.858,13935.978,6871547.0,2.439728306115294,True,4.947939670644762
RS,2022,90.81,90.81,94.02,94.02,33.0,13177.187,0.0,13177.187,6797105.0,2.5043281240525768,True,4.855008124782536
RS,2023,88.53,88.53,92.11,92.11,34.0,12374.848,0.0,12374.848,6641197.0,2.747508494649793,True,5.119559019255113
SE,2013,47.72,22.99,62.37,18.97,6.0,5772.75,1092.0,6864.75,9555893.0,0.8740303725554464,True,0.627884803649434
SE,2014,59.98,22.51,69.6,17.93,6.0,6148.25,1058.0,7206.25,9644864.0,0.8326105810928014,True,0.6220927532000451
SE,2015,54.92,22.02,70.68,19.79,7.0,6610.75,1139.0,7749.75,9747355.0,0.9032549437078616,True,0.718143537400659
SE,2016,54.24,21.74,67.35,18.5,7.0,5356.0,1111.0,6467.0,9851017.0,1.0824184320395855,True,0.7105865313195582
SE,2017,48.8,22.17,65.93,17.53,7.0,4137.064,2862.867,6999.9310000000005,9995153.0,1.0000098572400213,True,0.7003394545336125
SE,2018,48.47,21.42,67.5,19.37,7.0,5407.412,4014.75,9422.162,10120242.0,0.7429292767413679,True,0.6916830644958886
SE,2019,46.44,20.82,65.24,17.54,7.0,5526.518,3939.293,9465.811,10230185.0,0.739503461457238,True,0.6842496005692956
SE,2020,43.93,20.66,64.55,19.1,8.0,5478.716,4357.925,9836.641,10327589.0,0.8132857547612036,True,0.7746241644589071
SE,2021,41.28,20.37,59.78,19.41,7.0,5332.091,4164.985,9497.076,10379295.0,0.7370689673326822,True,0.6744196017166869
SE,2022,34.16,19.32,61.89,19.04,6.0,4541.394,1972.848,6514.242,10452326.0,0.9210588123683461,True,0.5740349085935513
SE,2023,32.53,18.4,56.13,17.8,6.0,3632.795,2025.213,5658.008,10521556.0,1.0604438876721278,True,0.5702578591987725
SI,2013,93.5,57.5,94.5,57.1,21.0,6287.5,50.0,6337.5,2058821.0,3.313609467455621,True,10.200012531443967
SI,2014,87.07,53.24,93.34,52.4,21.0,6025.0,52.0,6077.0,2061085.0,3.455652460095442,True,10.188808321830493
SI,2015,93.0,55.4,92.3,51.3,20.0,6489.0,58.5,6547.5,2062874.0,3.0546009927453226,True,9.695211631927108
SI,2016,93.5,56.4,94.3,53.9,22.0,6959.25,63.5,7022.75,2064188.0,3.132675946032537,True,10.65794394696607
SI,2017,93.29,56.29,92.0,48.52,28.0,7098.152,62.935,7161.087,2065895.0,3.910020922801245,True,13.553447779291785
SI,2018,88.02,53.74,91.97,51.46,23.0,6949.832,66.191,7016.023,2066880.0,3.2782104619668435,True,11.127883573308562
SI,2019,87.16,53.04,92.04,50.25,22.0,6882.019,65.707,6947.726000000001,2080908.0,3.1665036876814083,True,10.572307857915872
SI,2020,87.0,52.94,92.56,50.07,22.0,6734.34,61.764,6796.104,2095861.0,3.2371488134966735,True,10.496879325489619
SI,2021,93.43,55.89,93.62,50.52,23.0,7171.321,67.821,7239.142,2108977.0,3.1771721013346608,True,10.90576141892491
SI,2022,93.46,55.96,93.24,48.84,19.0,6454.942,61.269,6516.211,2107180.0,2.915804905642251,True,9.016790212511507
SI,2023,90.473,54.273,92.807,49.24,19.0,6081.799,51.063,6132.862,2116972.0,3.0980641664527915,True,8.975083279325375
SK,2013,82.89,58.09,83.76,83.76,26.0,34847.0,4543.5,39390.5,5410836.0,0.6600576281083002,True,4.80517243546099
SK,2014,72.65,67.17,81.85,81.85,25.0,28713.5,3337.75,32051.25,5415949.0,0.7800007800007799,True,4.615996199373369
SK,2015,72.68,56.31,79.5,73.11,29.0,28845.5,4488.75,33334.25,5421349.0,0.8699760756579195,True,5.349222121652747
SK,2016,73.27,51.65,80.49,71.26,25.0,29768.75,3982.0,33750.75,5426252.0,0.7407242802011808,True,4.60723165824219
SK,2017,73.61,49.87,79.82,71.39,28.0,31977.25,4480.5,36457.75,5435343.0,0.7680122881966112,True,5.151468821746852
SK,2018,70.66,54.07,78.08,70.49,27.0,30797.63,5246.894,36044.524000000005,5443120.0,0.7490735624640236,True,4.960390364349858
SK,2019,69.04,52.83,80.34,66.06,26.0,29829.507,4218.536,34048.043000000005,5450421.0,0.7636268551470049,True,4.770273709131827
SK,2020,69.6,53.36,79.82,64.44,26.0,28227.573,4515.802,32743.375,5457873.0,0.7940537589665085,True,4.763760534552563
SK,2021,74.36,57.11,79.38,63.67,26.0,31412.82,4724.723,36137.543,5459781.0,0.7194733742689701,True,4.762095769042751
SK,2022,73.74,56.63,77.73,70.38,20.0,28478.919,3782.739,32261.658000000003,5434712.0,0.6199309409330419,True,3.6800478111811628
SK,2023,73.56,56.5,81.45,73.32,19.0,26188.75,3486.75,29675.5,5428792.0,0.6402587993462621,True,3.499857795251688
TR,2013,,,,,119.0,219526.75,2955.25,222482.0,75627384.0,0.5348747314389479,True,1.5735041159165308
TR,2014,43.15,,51.89,,118.0,225782.75,2831.5,228614.25,76667864.0,0.5161533019048463,True,1.539106397955733
TR,2015,40.57,,43.8,,117.0,245995.5,3304.0,249299.5,77695904.0,0.4693150206879677,True,1.505870888637836
TR,2016,37.08,,37.64,,118.0,245984.5,7497.25,253481.75,78741053.0,0.46551674824716177,True,1.498582956466178
TR,2017,31.57,,35.05,,121.0,287994.968,4726.582,292721.55,79814871.0,0.41336211836812153,True,1.5160082135570951
TR,2018,22.23,,20.61,,118.0,279787.996,10375.5,290163.496,80810525.0,0.40666728112484557,True,1.4602058333366847
TR,2019,20.22,,25.32,,112.0,295087.364,5534.35,300621.714,82003882.0,0.3725612448607089,True,1.3657890000866055
TR,2020,19.13,,30.97,,119.0,302186.129,7556.437,309742.566,83154997.0,0.38419001152072846,True,1.431062525322441
TR,2021,22.89,,21.58,,123.0,337629.096,9269.019,346898.115,83614362.0,0.35457096675201016,True,1.4710391499489046
TR,2022,20.039,,19.58,,117.0,338029.087,6552.985,344582.072,84680273.0,0.33954175073855847,True,1.3816677232488375
TR,2023,19.54,,20.37,,111.0,319028.503,10291.204,329319.70700000005,85279553.0,0.3370584803781572,True,1.3016015691358043
XK,2013,96.38,96.38,98.79,98.79,0.0,0.0,0.0,0.0,,,False,
XK,2014,96.21,96.21,98.68,98.68,0.0,0.0,0.0,0.0,,,False,
XK,2015,95.84,95.84,97.43,97.43,0.0,0.0,0.0,0.0,,,False,
XK,2016,92.91,92.91,95.98,95.98,0.0,0.0,0.0,0.0,1771604.0,,False,
XK,2017,92.53,92.53,96.62,96.62,0.0,0.0,0.0,0.0,1783531.0,,False,
XK,2018,89.23,89.23,94.29,94.29,0.0,0.0,0.0,0.0,1798506.0,,False,
XK,2019,86.6,86.6,93.6,93.6,0.0,0.0,0.0,0.0,1795666.0,,False,
XK,2020,86.5,86.5,95.0,95.0,0.0,0.0,0.0,0.0,1782115.0,,False,
XK,2021,86.5,86.5,95.0,95.0,0.0,0.0,0.0,0.0,1798186.0,,False,
XK,2022,86.5,86.5,95.0,95.0,0.0,0.0,0.0,0.0,1773971.0,,False,
XK,2023,86.5,86.5,95.0,95.0,0.0,0.0,0.0,0.0,,,False,
