geo,year,pop
AD,2013,76246.0
AD,2019,76177.0
AL,2013,2897770.0
AL,2014,2892394.0
AL,2015,2885796.0
AL,2016,2875592.0
AL,2017,2876591.0
AL,2018,2870324.0
AL,2019,2862427.0
AL,2020,2845955.0
AL,2021,2829741.0
AL,2022,2793592.0
AL,2023,2761785.0
AM,2015,3010598.0
AM,2016,2998577.0
AM,2017,2986151.0
AM,2018,2972732.0
AM,2019,2965269.0
AM,2020,2959694.0
AM,2021,2963251.0
AM,2023,2977130.0
AT,2013,8451860.0
AT,2014,8507786.0
AT,2015,8584926.0
AT,2016,8700471.0
AT,2017,8772865.0
AT,2018,8822267.0
AT,2019,8858775.0
AT,2020,8901064.0
AT,2021,8932664.0
AT,2022,8978929.0
AT,2023,9104772.0
AZ,2013,9356483.0
AZ,2014,9477119.0
AZ,2015,9593038.0
AZ,2016,9705643.0
AZ,2017,9809981.0
AZ,2018,9898085.0
AZ,2019,9981457.0
AZ,2020,10067108.0
AZ,2021,10119133.0
AZ,2022,10156366.0
AZ,2023,10127145.0
BE,2013,11137974.0
BE,2014,11180840.0
BE,2015,11237274.0
BE,2016,11311117.0
BE,2017,11351727.0
BE,2018,11398589.0
BE,2019,11455519.0
BE,2020,11522440.0
BE,2021,11554767.0
BE,2022,11617623.0
BE,2023,11742796.0
BG,2013,7202556.0
BG,2014,7117453.0
BG,2015,7029690.0
BG,2016,6938759.0
BG,2017,6849518.0
BG,2018,6757418.0
BG,2019,6664177.0
BG,2020,6569275.0
BG,2021,6532117.0
BG,2022,6482484.0
BG,2023,6447710.0
BY,2013,9463840.0
BY,2014,9468154.0
BY,2015,9480868.0
BY,2016,9498364.0
BY,2017,9504704.0
BY,2018,9491823.0
BY,2019,9475174.0
CH,2013,8039060.0
CH,2014,8139631.0
CH,2015,8237666.0
CH,2016,8327126.0
CH,2017,8419550.0
CH,2018,8484130.0
CH,2019,8544527.0
CH,2020,8606033.0
CH,2021,8670300.0
CH,2022,8738791.0
CH,2023,8815385.0
CY,2013,862854.0
CY,2014,860032.0
CY,2015,860846.0
CY,2016,863764.0
CY,2017,869878.0
CY,2018,878601.0
CY,2019,890194.0
CY,2020,902429.0
CY,2021,914476.0
CY,2022,929764.0
CY,2023,949084.0
CZ,2013,10516125.0
CZ,2014,10512419.0
CZ,2015,10538275.0
CZ,2016,10553843.0
CZ,2017,10578820.0
CZ,2018,10610055.0
CZ,2019,10649800.0
CZ,2020,10693939.0
CZ,2021,10494836.0
CZ,2022,10516707.0
CZ,2023,10827529.0
DE,2013,80523746.0
DE,2014,80767463.0
DE,2015,81197537.0
DE,2016,82175684.0
DE,2017,82521653.0
DE,2018,82792351.0
DE,2019,83019213.0
DE,2020,83166711.0
DE,2021,83155031.0
DE,2022,83237124.0
DE,2023,83118501.0
DE_TOT,2013,80523746.0
DE_TOT,2014,80767463.0
DE_TOT,2015,81197537.0
DE_TOT,2016,82175684.0
DE_TOT,2017,82521653.0
DE_TOT,2018,82792351.0
DE_TOT,2019,83019213.0
DE_TOT,2020,83166711.0
DE_TOT,2021,83155031.0
DE_TOT,2022,83237124.0
DE_TOT,2023,83118501.0
DK,2013,5602628.0
DK,2014,5627235.0
DK,2015,5659715.0
DK,2016,5707251.0
DK,2017,5748769.0
DK,2018,5781190.0
DK,2019,5806081.0
DK,2020,5822763.0
DK,2021,5840045.0
DK,2022,5873420.0
DK,2023,5932654.0
EA20,2013,340884869.0
EA20,2014,341550723.0
EA20,2015,342257711.0
EA20,2016,343444952.0
EA20,2017,344141575.0
EA20,2018,344808648.0
EA20,2019,345712139.0
EA20,2020,346640106.0
EA20,2021,346718238.0
EA20,2022,347104468.0
EA20,2023,348557873.0
EA21,2013,348063816.0
EA21,2014,348635663.0
EA21,2015,349245825.0
EA21,2016,350335378.0
EA21,2017,350930427.0
EA21,2018,351492237.0
EA21,2019,352286930.0
EA21,2020,353103320.0
EA21,2021,353127067.0
EA21,2022,353792653.0
EA21,2023,355577576.0
EE,2013,1320169.0
EE,2014,1315819.0
EE,2015,1313271.0
EE,2016,1315944.0
EE,2017,1315635.0
EE,2018,1319133.0
EE,2019,1324820.0
EE,2020,1328889.0
EE,2021,1330068.0
EE,2022,1331796.0
EE,2023,1365884.0
EEA30_2007,2013,506310838.0
EEA30_2007,2015,509115773.0
EEA30_2007,2016,510819888.0
EEA30_2007,2017,512055378.0
EEA30_2007,2018,513228429.0
EEA30_2007,2019,514537646.0
EEA30_2007,2020,515878092.0
EEA31,2013,511055242.0
EEA31,2015,513310526.0
EEA31,2016,514966448.0
EEA31,2017,516149223.0
EEA31,2018,517257135.0
EEA31,2019,518520617.0
EEA31,2020,519826027.0
EFTA,2013,13449030.0
EFTA,2014,13611487.0
EFTA,2015,13769934.0
EFTA,2016,13911262.0
EFTA,2017,14054026.0
EFTA,2018,14166313.0
EFTA,2019,14268108.0
EFTA,2020,14376494.0
